drug_name,rule_type
"Rimonabant","BANNED_FDC"
"Rosiglitazone","BANNED_FDC"
"Nimesulide formulations for human use in children below 12 years of age","BANNED_FDC"
"Cisapride and its formulations for human use","BANNED_FDC"
"Phenypropanolamine and its formulations for human use","BANNED_FDC"
"Human Placental Extract and its formulations for human use","BANNED_FDC"
"Sibutramine and its formulations for human use","BANNED_FDC"
"R-Sibutramine and its formulations for human use","BANNED_FDC"
"Gatifloxacin formulation for systemic use in human by any route including oral and injectable","BANNED_FDC"
"Tegaserod and its formulations","BANNED_FDC"
"Letrozole for induction of ovulation in anovulatory infertility","BANNED_FDC"
"Serodiagnostic test kits for diagnosis of tuberculosis","BANNED_FDC"
"Dextropropoxyphene and formulations containing Dextropropoxyphene for human use","BANNED_FDC"
"Fixed dose combination of Flupenthixol + Melitracen for human use","BANNED_FDC"
"Analgin and all formulations containing analgin for human use","BANNED_FDC"
"Pioglitazone and all formulations containing Pioglitazone for human use","BANNED_FDC"
"Aceclofenac + Paracetamol + Rabeprazole","BANNED_FDC"
"Nimesulide + Diclofenac","BANNED_FDC"
"Nimesulide + Cetirizine + Caffeine","BANNED_FDC"
"Nimesulide + Tizanidine","BANNED_FDC"
"Paracetamol + cetrizine + caffeine","BANNED_FDC"
"Diclofenac + Tramadol + Chlorzoxazone","BANNED_FDC"
"Dicyclomine + Paracetamol + Domperidone","BANNED_FDC"
"Nimesulide + Paracetamol dispesible tablets","BANNED_FDC"
"Paracetamol + Phenylephrine + Caffeine","BANNED_FDC"
"Diclofenac + Tramadol + Paracetamol","BANNED_FDC"
"Diclofenac + paracetamol + chlorzoxazone + famotidine","BANNED_FDC"
"Naproxen + Paracetamol","BANNED_FDC"
"Nimesulide + serratiopeptidase","BANNED_FDC"
"Paracetamol + Diclofenac + Famotidine","BANNED_FDC"
"Nimesulide + Pitofenone + Fenpiverinium + benzyl alcohol","BANNED_FDC"
"Omeprazole + Paracetamol + Diclofenac","BANNED_FDC"
"Nimesulide + Paracetamol injection","BANNED_FDC"
"Tamsulosin + diclofenac","BANNED_FDC"
"Paracetamol + Phenylephirine + Chlorpheniramine + Dextromethorphan + Caffeine","BANNED_FDC"
"Diclofenac + Zinc Carnosine","BANNED_FDC"
"Diclofenac + paracetamol + chlorpheniramine maleate + magnesium trisillicate","BANNED_FDC"
"Paracetamol + pseudoephedrine + cetrizine","BANNED_FDC"
"Phenylbutazone + Sodium Salicylate","BANNED_FDC"
"Lornoxicam + Paracetamol + Trypsin","BANNED_FDC"
"Paracetamol + Mefenamic Acid + Ranitidine + Dicyclomine","BANNED_FDC"
"Nimesulide + Dicyclomine","BANNED_FDC"
"Heparin + Diclofenac","BANNED_FDC"
"Glucosamine + Methyl SulfonylMethane + Vitamin D3 + Manganese + Boron + Copper + Zinc","BANNED_FDC"
"Paracetamol + Tapentadol","BANNED_FDC"
"Tranexamic Acid + Proanthocyanidin","BANNED_FDC"
"Benzoxonium Chloride + Lidocaine","BANNED_FDC"
"Lornoxicam + Paracetamol + Tramadol","BANNED_FDC"
"Lornoxicam + Paracetamol + Serratiopeptidase","BANNED_FDC"
"Diclofenac + Paracetamol + Magnesium trisilicate","BANNED_FDC"
"Paracetamol + Domperidone + Caffeine","BANNED_FDC"
"Ammonium Chloride + Sodium Citrate + Chlorpheniramine Maleate + Menthol","BANNED_FDC"
"Paracetamol + Prochlorperazine Maleate","BANNED_FDC"
"Serratiopeptidase + Diclofenac Potassium + Doxycycline","BANNED_FDC"
"Nimesulide + Paracetamol suspension","BANNED_FDC"
"Aceclofenac + Paracetamol + Famotidine","BANNED_FDC"
"Aceclofenac + Zinc Carnosine","BANNED_FDC"
"Paracetamol + disodium Hydrogen Citrate + Caffeine","BANNED_FDC"
"Paracetamol + DL Methionine","BANNED_FDC"
"Disodium Hydrogen citrate + Paracetamol","BANNED_FDC"
"Paracetamol + Caffeine + Codeine Phosphate","BANNED_FDC"
"Aceclofenac (SR) + Paracetamol","BANNED_FDC"
"Diclofenac + Paracetamol injection","BANNED_FDC"
"Azithromycin + Cefixime","BANNED_FDC"
"Amoxicillin + Dicloxacillin","BANNED_FDC"
"Amoxicillin + Potassium Clavulanate Diluted","BANNED_FDC"
"Azithromycin + Levofloxacin","BANNED_FDC"
"Cefixime + Linezolid","BANNED_FDC"
"Amoxicillin + Cefixime + Potassium Clavulanic Acid","BANNED_FDC"
"Ofloxacin + Nitazoxanide","BANNED_FDC"
"Cefpodoxime Proxetil + Levofloxacin","BANNED_FDC"
"Azithromycin dihydrate + secnidazole + fluconazole","BANNED_FDC"
"Levofloxacin + Ornidazole + Alpha Tocopherol Acetate","BANNED_FDC"
"Nimorazole + Ofloxacin","BANNED_FDC"
"Azithromycin + ofloxacin","BANNED_FDC"
"Amoxycillin + tinidazole","BANNED_FDC"
"Doxycycline + Serratiopeptidase","BANNED_FDC"
"Cefixime + levofloxacin","BANNED_FDC"
"Ofloxacin + Metronidazole + Zinc Acetate","BANNED_FDC"
"Diphenoxylate + Atropine + Furazolidone","BANNED_FDC"
"Fluconazole + Azithromycin + Ornidazole","BANNED_FDC"
"Ciprofloxacin + Phenazopyridine","BANNED_FDC"
"Amoxycillin + Dicloxacillin + Serratiopeptidase","BANNED_FDC"
"Azithromycin + Cefpodoxime","BANNED_FDC"
"Lignocaine + Clotrimazole + Ofloxacin + Beclomethasone","BANNED_FDC"
"Cefuroxime + Linezolid","BANNED_FDC"
"Ofloxacin + Ornidazole + Zinc bisglycinate","BANNED_FDC"
"Metronidazole + Norfloxacin","BANNED_FDC"
"Amoxicillin + Bromhexine","BANNED_FDC"
"Ciprofloxacin + Fluticasone + Clotrimazole + Neomycin","BANNED_FDC"
"Metronidazole + Tetracycline","BANNED_FDC"
"Cephalexin + Neomycin + Prednisolone","BANNED_FDC"
"Azithromycin + Ambroxol","BANNED_FDC"
"Cilnidipine + metroprolol succinate + metroprolol tartrate","BANNED_FDC"
"L-Arginine + Sildenafil","BANNED_FDC"
"Atorvastatin + vitamin D3 + folic acid + vitamin B12 + pyridoxine","BANNED_FDC"
"Metformin + Atorvastatin","BANNED_FDC"
"Clindamycin + Telmisartan","BANNED_FDC"
"Olmesartan + Hydrochlorothiazide + Chlorthalidone","BANNED_FDC"
"L-5-Methylterahydrofolate calcium + Escitalopram","BANNED_FDC"
"Pholcodine + Promethazine","BANNED_FDC"
"Paracetamol + Promethazine","BANNED_FDC"
"Betahistine + Ginkgo Biloba Extract + Vinpocetine + Piracetam","BANNED_FDC"
"Cetirizine Dihydrochloride + Diethyl Carbamazine","BANNED_FDC"
"Doxylamine + Pyridoxine + Mefenamic Acid + Paracetamol","BANNED_FDC"
"Drotaverine + Clidinium + Chlordiazepoxide","BANNED_FDC"
"Imipramine + Diazepam","BANNED_FDC"
"Flupentixol + Escitalopram","BANNED_FDC"
"Paracetamol + Prochloperazine","BANNED_FDC"
"Gabapentin + Mecobalamin + Pyridoxine + Thiamine","BANNED_FDC"
"Imipramine + Trifluoperazine + Chlordiazepoxide + Trihexyphenidyl","BANNED_FDC"
"Chlorpromazine + Trihexyphenidyl","BANNED_FDC"
"Ursodeoxycholic Acid + Silymarin","BANNED_FDC"
"Metformin + Pioglitazone + Glimepiride","BANNED_FDC"
"Gliclazide + metformin","BANNED_FDC"
"Voglibose + Metformin + Chromium Picolinate","BANNED_FDC"
"Pioglitazone + Metformin","BANNED_FDC"
"Glimepiride + Pioglitazone + Metformin","BANNED_FDC"
"Metformin (sustainded release) + Pioglitazone + Glimepride","BANNED_FDC"
"Chloramphenicol + Clomitrimazole + Beclomethasone + Lignocaine","BANNED_FDC"
"Clotrimazole + Ofloxaxin + Lignocaine + glycerine and propylene glycol","BANNED_FDC"
"Chloramphennicol + Lignocain + Betamethasone + Clotrimazole + Ofloxacin + Antipyrine","BANNED_FDC"
"Ofloxacin + Clotrimazole + Betamethasone + Lignocaine","BANNED_FDC"
"Gentamicin Sulphate + Clotrimazole + Betamethasone + Lignocaine","BANNED_FDC"
"Clotrimazole + Beclomethasone + Ofloxacin + Lignocaine","BANNED_FDC"
"Becloemthasone + Clotrimazole + Chloramphenicol + Gentamycin + Lignocaine","BANNED_FDC"
"Flunarizine + Paracetamole + Domperidone","BANNED_FDC"
"Rabeprazole + Zinc carnosine","BANNED_FDC"
"Magaldrate + famotidine + simethicone","BANNED_FDC"
"Cyproheptadine + thiamine","BANNED_FDC"
"Magaldrate + Ranitidine + Pancreatin + Domperidone","BANNED_FDC"
"Ranitidine + Magaldrate + simethicone","BANNED_FDC"
"Magaldrate + papain + fungul diastase + simethicone","BANNED_FDC"
"Rabeprazole + zinc + domperidone","BANNED_FDC"
"Famotidine + oxytacaine + Magaldrate","BANNED_FDC"
"Ranitidine + Domperidone + Semithicone","BANNED_FDC"
"Alginic Acid + Sodium Bicarbonate + Dried Aluminium Hydroxide + Magnesium Hydroxide","BANNED_FDC"
"Clidinium + Paracetamol + Dicyclomine + Activated Dimethicone","BANNED_FDC"
"Furazolidone + Metronidazole + Loperamide","BANNED_FDC"
"Rabeprazole + Diclofenac + Paracetamol","BANNED_FDC"
"Ranitidine + Magaldrate","BANNED_FDC"
"Norfloxacin + Metronidazole + zinc Acetate","BANNED_FDC"
"Zinc Carnosine + Oxetacaine","BANNED_FDC"
"Oxetacaine + Magaldrate + Famotidine","BANNED_FDC"
"Pantoprazole + Zinc Carnosine","BANNED_FDC"
"Zinc Carnosine + Magnesium Hydroxide + Dried Aluminium Hydroxide + Simethicone","BANNED_FDC"
"Zinc Carnosine + Sucralfate","BANNED_FDC"
"Mebeverine Hydrochloride + Streptococcus Faecalis + Clostridium butyricum + Bacillus mesentricus + Lactic Acid Bacillus","BANNED_FDC"
"Clindamycin + Clotrimazole + Lactic Acid Bacillus","BANNED_FDC"
"Sildenafil + Estradiol Valerate","BANNED_FDC"
"Clomifene Citrate + Ubidecarenone + Zinc + Folic Acid + Methylcobalamin + Lycopene + Pyridoxine + Selenium + Levocarnitine Tartrate + L-Arginine","BANNED_FDC"
"Thyroxine + Pyridoxine + Folic Acid","BANNED_FDC"
"Gentamycin + Dexamethasone + Chloramphenicol + Tobramycin + Ofloxacin","BANNED_FDC"
"Dextromethorphan + Levocetirizine + Phenylephrine + Zinc","BANNED_FDC"
"Nimesulide + Loratadine + Phenylephrine + Ambroxol","BANNED_FDC"
"Bromhexine + Phenylephrine + Chlorepheniramine Maleate","BANNED_FDC"
"Dextromethorphan + bromhexine + Guaiphenesin","BANNED_FDC"
"Paracetamol + Loratadine + Phenylephrine + Dextromethorphan + caffeine","BANNED_FDC"
"Nimesulide + Phenylephrine + Ceffeine + levocetirizine","BANNED_FDC"
"Azithromycin + acebrophyline","BANNED_FDC"
"Diphenhydramine + Terpine + Ammonium Chloride + Sodium Chloride + Menthol","BANNED_FDC"
"Nimesulide + Paracetamol + Cetrizine + Phenylephrine","BANNED_FDC"
"Paracetamol + loratadine + dextromethophan + pseudoepheridine + caffeine","BANNED_FDC"
"Chlorpheniramine maleate + dextromethophan + guaiphenesin + ammonium chloride + menthol","BANNED_FDC"
"Chlorpheniramine Maleate + Ammonium Chloride + Sodium Citrate","BANNED_FDC"
"Cetirizine + Phenylephrine + Paracetamol + Zinc Gluconate","BANNED_FDC"
"Ambroxol + Guaiphenesin + Ammonium Chloride + Phenylephrine + Chlorpheniramine Maleate + Menthol","BANNED_FDC"
"dextromethophen + bromhexine + chlorpheniramine maleate + guaiphenesin","BANNED_FDC"
"Levocetirizine + ambroxol + phenylephrine + guaiphenesin","BANNED_FDC"
"Dextromethorphan + chlorpheniramine + chlorpheniraminemaleate","BANNED_FDC"
"Cetirizine + ambroxol + Guaiphenesin + ammonium chloride + phenylephrine + menthol","BANNED_FDC"
"Chlorpheniramine + phenylephrine + caffiene","BANNED_FDC"
"Dextromethorphan + triprolidine + phenylephrine","BANNED_FDC"
"Terpinhydrate + dextromethorphan + menthol","BANNED_FDC"
"Dextromethorphan + phenylephrine + zinc gluconate + menthol","BANNED_FDC"
"Chlorpheniramine + codeine + sodium citarte + menthol","BANNED_FDC"
"Enrofloxacin + bromhexin","BANNED_FDC"
"Bromhexine + Dextromethorphan + Phenylephrine + Menthol","BANNED_FDC"
"Levofloxacin + Bromhexine","BANNED_FDC"
"Levocetirizine + Ranitidine","BANNED_FDC"
"Levocetirizine + Phenylephrine + Ambroxol + Guaiphenesin + Paracetamol","BANNED_FDC"
"Cetirizine + dextromethorphan + phenylephrine + zinc gluconate + paracetamol+ menthol","BANNED_FDC"
"Paracetamol + pseudoephedrine + dextromethorphan + cetirizine","BANNED_FDC"
"Diphenhydamine + guaiphenesin + ammonium chloride + bromhexine","BANNED_FDC"
"Chlorpheniramine + Dextromethorphan + Phenylephrine + Paracetamol","BANNED_FDC"
"Dextromethorphen + Promethazine","BANNED_FDC"
"Diethylcabamazine + Cetrizine + Guaiphenesin","BANNED_FDC"
"Pseudoephedrine + Dextromethorphan + Cetirizine","BANNED_FDC"
"Chlorpheniramine + Phenylephrine + Dextromethophan + Menthol","BANNED_FDC"
"Ambroxol + Terbutaline + Dextromethorphan","BANNED_FDC"
"Dextromethorphan + Chlorpheniramine + Guaiphenesin","BANNED_FDC"
"Terbutaline + Bromhexine + Guaiphenesin + Dextromethorphan","BANNED_FDC"
"Dextromethorphan + Tripolidine + Phenylephirine","BANNED_FDC"
"Paracetamol + Dextromethorphan + Chlorpheniramine","BANNED_FDC"
"Pholcodine + Phenylephrine + Promethazine","BANNED_FDC"
"Codeine + levocetirizine + menthol","BANNED_FDC"
